heavy metal,ppm,R,G,B,dR,dG,dB,ED,,X,Y,Z,dX,dY,dZ,L,a,b,deltaE,deltaL,deltaa,deltab,Group,ppm
Pb,30,142.892,103.176,68.288,-5.313333333,-6.090333333,-2.734,8.532199436,,17.22983492,15.98763472,7.692342066,-1.656132158,-1.778110083,-0.705780814,46.95826166,11.60503081,25.86954605,2.82094243,-2.252478407,0.918287891,-1.428567313,Pb,30ppm
Pb,35,137.953,103.116,76.979,-10.25233333,-6.150333333,5.957,13.35749931,,16.67470883,15.6593957,9.160141519,-2.211258243,-2.106349096,0.762018639,46.52441765,10.40274633,20.16576589,7.626753093,-2.686322417,-0.283996587,-7.132347478,Pb,35ppm
Pb,40,141.0056667,106.53,78.965,-7.199666667,-2.736333333,7.943,11.06408465,,17.6049682,16.64591975,9.674647913,-1.280998876,-1.119825053,1.276525033,47.81076062,9.969425976,20.77263519,6.712402814,-1.399979453,-0.717316939,-6.52547818,Pb,40ppm
Zn,0,144.7736667,103.0526667,61.844,0,0,0,0,,17.3588884,16.05755549,6.719232712,0,0,0,47.04990934,11.91475101,29.67227293,0,0,0,0,Ag-Zn,0ppm
Zn,5,137.801,86.329,65.427,-6.972666667,-16.72366667,3.583,18.46989432,,14.76987833,12.48243821,6.696556176,-2.589010067,-3.575117281,-0.022676536,41.97282504,18.92966185,21.00768987,12.24992893,-5.0770843,7.014910843,-8.664583066,Ag-Zn,5ppm
Zn,10,139.461,85.414,65.81,-5.312666667,-17.63866667,3.966,18.84346425,,14.98448005,12.48354903,6.74427214,-2.374408347,-3.574006466,0.025039428,41.97454466,20.2179153,20.82359108,13.15298576,-5.075364679,8.303164292,-8.848681852,Ag-Zn,10ppm
Zn,15,137.306,83.33,63.723,-7.467666667,-19.72266667,1.879,21.17263014,,14.40377227,11.94970467,6.356209433,-2.95511613,-4.107850821,-0.36302328,41.13607197,20.29669822,20.92577775,13.48078964,-5.913837361,8.381947215,-8.746495182,Ag-Zn,15ppm
Zn,20,135.175,81.225,60.684,-9.598666667,-21.82766667,-1.16,23.87314462,,13.81373386,11.41856842,5.84597835,-3.54515454,-4.63898707,-0.873254362,40.27668952,20.31008933,21.57823189,13.48598208,-6.773219819,8.395338323,-8.09404105,Ag-Zn,20ppm
Zn,25,132.677,79.733,61.401,-12.09666667,-23.31966667,-0.443,26.27417833,,13.32507281,11.00105399,5.892444186,-4.033815591,-5.056501507,-0.826788526,39.58224547,20.16627625,20.18153962,14.62626717,-7.467663869,8.251525249,-9.490733316,Ag-Zn,25ppm
Zn,30,136.379,81.6,67.898,-8.394666667,-21.45266667,6.054,23.81886336,,14.24334131,11.65783684,6.951459748,-3.115547091,-4.399718651,0.232227035,40.66705552,21.32491649,17.76712766,16.4628224,-6.382853816,9.410165484,-11.90514528,Ag-Zn,30ppm
Zn,35,135.862,84.064,63.968,-8.911666667,-18.98866667,2.124,21.0831364,,14.23159234,11.9443195,6.400676602,-3.127296062,-4.113235988,-0.318556111,41.12748784,19.26725107,20.73047385,13.0034651,-5.922421493,7.352500066,-8.941799087,Ag-Zn,35ppm
Zn,40,129.8723333,74.05566667,58.70266667,-14.90133333,-28.997,-3.141333333,32.75276659,,12.4213928,9.954609402,5.363772954,-4.937495602,-6.10294609,-1.355459759,37.76084223,22.00738022,19.3748818,17.15179863,-9.289067106,10.09262921,-10.29739113,Ag-Zn,40ppm
Ag,0,131.212,95.007,58.992,0,0,0,0,,14.27573183,13.34460772,5.959608032,0,0,0,43.27796142,10.27217576,26.26712206,0,0,0,0,Ag-Zn,0ppm
Ag,5,136.548,92.321,61.491,5.336,-2.686,2.499,6.475530326,,14.95403629,13.33368663,6.269680084,0.678304459,-0.010921089,0.310072052,43.26178619,14.48641133,24.94447474,4.416949064,-0.016175236,4.214235572,-1.322647323,Ag-Zn,5ppm
Ag,10,126.303,81.829,55.405,-4.909,-13.178,-3.587,14.51290922,,12.35343006,10.7482844,5.088791054,-1.922301765,-2.596323321,-0.870816978,39.1532411,15.54204998,23.05050028,7.425062141,-4.124720326,5.269874228,-3.216621776,Ag-Zn,10ppm
Ag,15,125.318,80.743,62.521,-5.894,-14.264,3.529,15.8320805,,12.31184918,10.58521883,6.02650907,-1.963882651,-2.759388888,0.066901038,38.87290292,16.46591929,18.38910326,10.9466972,-4.405058501,6.193743531,-7.8780188,Ag-Zn,15ppm
Ag,20,119.258,71.067,59.336,-11.954,-23.94,0.344,26.76079319,,10.69949185,8.775426605,5.312975946,-3.57623998,-4.569181113,-0.646632086,35.54826692,19.23197651,15.79227563,15.80343679,-7.729694504,8.959800752,-10.47484643,Ag-Zn,20ppm
Ag,25,111.187,66.319,59.213,-20.025,-28.688,0.221,34.98643752,,9.341454914,7.644233911,5.149340491,-4.934276913,-5.700373807,-0.810267541,33.23069632,18.54181431,12.55461208,18.90416324,-10.0472651,8.269638555,-13.71250998,Ag-Zn,25ppm
Ag,30,110.526,63.739,61.94,-20.686,-31.268,2.948,37.60703557,,9.183087454,7.334188851,5.479862885,-5.092644372,-6.010418868,-0.479745147,32.55590117,20.13903144,9.875680372,21.93163874,-10.72206026,9.866855685,-16.39144169,Ag-Zn,30ppm
Ag,35,114.591,68.814,63.616,-16.621,-26.193,4.624,31.36418763,,10.04828095,8.21720413,5.849272695,-4.227450876,-5.127403588,-0.110335337,34.43120529,19.04606215,11.48564076,19.33231403,-8.846756129,8.773886394,-14.7814813,Ag-Zn,35ppm
Ag,40,113.254,68.963,68.413,-17.958,-26.044,9.421,33.00810417,,10.0250947,8.202470552,6.589256405,-4.250637128,-5.142137166,0.629648373,34.40104594,18.99407265,8.376821682,21.79297964,-8.876915481,8.721896898,-17.89030038,Ag-Zn,40ppm
Cd,0,131.562,102.243,68.377,0,0,0,0,,15.27819295,14.84373109,7.588625878,0,0,0,45.41941589,7.122735075,23.58963539,0,0,0,0,Cd-Mn,0ppm
Cd,5,144.196,102.794,62.271,12.634,0.551,-6.106,14.0429624,,17.24355841,15.95857712,6.767686502,1.965365462,1.114846031,-0.820939375,46.92009623,11.84464699,29.25893406,7.529239072,1.500680336,4.721911914,5.66929867,Cd-Mn,5ppm
Cd,10,139.791,97.48,60.964,8.229,-4.763,-7.413,12.05633356,,15.94144189,14.5334207,6.374511206,0.663248939,-0.310310394,-1.214114671,44.98840435,12.85892262,27.4933369,6.951870541,-0.431011545,5.736187549,3.903701509,Cd-Mn,10ppm
Cd,15,133.15,89.457,51.99,1.588,-12.786,-16.387,20.8455585,,13.92757411,12.46880905,4.920157331,-1.350618837,-2.374922043,-2.668468547,41.95171782,13.81031,28.68019042,9.091883133,-3.467698079,6.68757493,5.090555029,Cd-Mn,15ppm
Cd,20,133.24,87.59,56.066,1.678,-14.653,-12.311,19.21163226,,13.88324018,12.20575081,5.373834224,-1.394952763,-2.637980285,-2.214791654,41.54127609,15.29946066,25.84705808,9.327098522,-3.878139808,8.176725582,2.257422697,Cd-Mn,20ppm
Cd,25,137.764,92.812,58.764,6.202,-9.431,-9.613,14.82627175,,15.12429818,13.49344164,5.912743254,-0.153894763,-1.350289453,-1.675882624,43.4975251,14.49085905,26.84525171,8.281422148,-1.921890792,7.368123976,3.255616325,Cd-Mn,25ppm
Cd,30,142.001,96.14,60.768,10.439,-6.103,-7.609,14.28692448,,16.18817969,14.47790634,6.323205996,0.90998674,-0.365824755,-1.265419881,44.91065132,14.60940016,27.56818763,8.493401761,-0.508764573,7.48666509,3.978552239,Cd-Mn,30ppm
